รายการบัญชี - Seller Balance,,,สรุป,,,,,ยอดคงเหลือ,
หน่วยเงิน:,THB,,เงินเข้า,,เงินออก,,,ยอดตั้งต้น,89163.0
วันที่:,2023-02-27-2023-03-29,,จำนวนการทำรายการ:,311,จำนวนการทำรายการ:,5,,ยอดคงเหลือสุทธิ,17170.0
,,,ยอดรวม:,701405.0,ยอดรวม:,773398.0


วันที่,ผู้นำจ่าย,จำนวนเงิน,รายการ,สถานะ,ยอดคงเหลือ
2023-03-25 11:25,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #2303224G72EFM9,,86345.0
2023-03-25 08:19,Seller Balance,1017.0,เงินโอนจากคำสั่งซื้อ #230318R2WMY75A,,85886.0
2023-03-25 07:20,Seller Balance,2006.0,เงินโอนจากคำสั่งซื้อ #23032004SGJYX0,,84869.0
2023-03-25 05:49,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230320W15UX1BC,,82863.0
2023-03-25 04:53,Seller Balance,279.0,เงินโอนจากคำสั่งซื้อ #230314ECNYT2GR,,82404.0
2023-03-25 03:30,Seller Balance,11204.0,เงินโอนจากคำสั่งซื้อ #230315GMJX4BNA,,82125.0
2023-03-25 02:49,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #230314EF16UJ5K,,70921.0
2023-03-25 01:26,Seller Balance,11611.0,เงินโอนจากคำสั่งซื้อ #230315EX6S357N,,70330.0
2023-03-25 01:18,Seller Balance,11204.0,เงินโอนจากคำสั่งซื้อ #230315GN54SXX6,,58719.0
2023-03-24 23:14,Seller Balance,604.0,เงินโอนจากคำสั่งซื้อ #230318R35KHTCC,,47515.0
2023-03-24 16:48,Seller Balance,1385.0,เงินโอนจากคำสั่งซื้อ #230320VPG70W9E,,46911.0
2023-03-24 16:00,Seller Balance,460.0,เงินโอนจากคำสั่งซื้อ #23032004S54X3S,,45526.0
2023-03-24 12:56,Seller Balance,4301.0,เงินโอนจากคำสั่งซื้อ #2303224DXPXD0M,,45066.0
2023-03-24 09:14,Seller Balance,1831.0,เงินโอนจากคำสั่งซื้อ #230319T89ECP91,,40765.0
2023-03-24 05:32,Seller Balance,591.0,เงินโอนจากคำสั่งซื้อ #2303128A0UK5B9,,38934.0
2023-03-24 05:03,Seller Balance,471.0,เงินโอนจากคำสั่งซื้อ #230314DYWU9A8Q,,38343.0
2023-03-24 01:32,Seller Balance,604.0,เงินโอนจากคำสั่งซื้อ #230315G421A1XB,,37872.0
2023-03-24 01:05,Seller Balance,472.0,เงินโอนจากคำสั่งซื้อ #230313BYTNMPV9,,37268.0
2023-03-23 23:10,Seller Balance,1986.0,เงินโอนจากคำสั่งซื้อ #2303212FF9VGNJ,,36796.0
2023-03-23 22:42,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230320VSQ61190,,34810.0
2023-03-23 18:40,Seller Balance,4919.0,เงินโอนจากคำสั่งซื้อ #23032001AQT0CH,,34351.0
2023-03-23 16:58,Seller Balance,1971.0,เงินโอนจากคำสั่งซื้อ #230317NEAAAUCC,,29432.0
2023-03-23 16:29,Seller Balance,1172.0,เงินโอนจากคำสั่งซื้อ #230320VC8Q2A5H,,27461.0
2023-03-23 15:30,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230319T8DTMSR8,,26289.0
2023-03-23 10:18,Seller Balance,487.0,เงินโอนจากคำสั่งซื้อ #2303200311DWYP,,25830.0
2023-03-23 08:33,Seller Balance,592.0,เงินโอนจากคำสั่งซื้อ #2303115M4754KU,,25343.0
2023-03-23 07:46,Seller Balance,458.0,เงินโอนจากคำสั่งซื้อ #230319T58J07UK,,24751.0
2023-03-23 04:43,Seller Balance,2549.0,เงินโอนจากคำสั่งซื้อ #230314DCGVHANQ,,24293.0
2023-03-23 03:44,Seller Balance,1967.0,เงินโอนจากคำสั่งซื้อ #230313AUSBE8HS,,21744.0
2023-03-23 02:43,Seller Balance,1779.0,เงินโอนจากคำสั่งซื้อ #2303128SGXDA4Q,,19777.0
2023-03-23 02:43,Seller Balance,501.0,เงินโอนจากคำสั่งซื้อ #23031291TAXG8F,,17998.0
2023-03-22 23:15,Seller Balance,974.0,เงินโอนจากคำสั่งซื้อ #230316JD45RJQ1,,17497.0
2023-03-22 23:07,Seller Balance,519.0,เงินโอนจากคำสั่งซื้อ #230319TT0VC7RY,,16523.0
2023-03-22 22:38,Seller Balance,714.0,เงินโอนจากคำสั่งซื้อ #230319UBW2W55F,,16004.0
2023-03-22 22:33,Seller Balance,1209.0,เงินโอนจากคำสั่งซื้อ #230319TBS7N70A,,15290.0
2023-03-22 22:12,Seller Balance,3489.0,เงินโอนจากคำสั่งซื้อ #230320UGW624X4,,14081.0
2023-03-22 20:16,Seller Balance,459.0,เงินโอนจากคำสั่งซื้อ #230320VA78TV1S,,10592.0
